date,machine,dai,totalStarts,estimatedDiffBalls,jackpot,continuations,initialHits,maxContinuation,jackpotProbability,finalStarts,maxPayout,updateText,url
2026-06-16,e新世紀エヴァ17はじまりR,0181,2551,,23,18,5,10,1/111,14,12580,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0181
2026-06-16,e新世紀エヴァ17はじまりR,0182,3362,,39,36,3,26,1/86.3,89,30950,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0182
2026-06-16,e新世紀エヴァ17はじまりR,0183,2347,,24,18,6,10,1/97.8,145,14400,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0183
2026-06-16,e新世紀エヴァ17はじまりR,0184,2143,,32,28,4,18,1/67,31,29810,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0184
2026-06-16,e新世紀エヴァ17はじまりR,0185,1492,,8,6,2,6,1/186.5,720,7000,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0185
2026-06-16,e新世紀エヴァ17はじまりR,0186,2199,,11,6,5,6,1/200,487,6990,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0186
2026-06-16,e新世紀エヴァ17はじまりR,0187,2062,,4,2,2,2,1/515.5,903,2520,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0187
2026-06-16,e新世紀エヴァ17はじまりR,0188,2054,,9,6,3,6,1/228.3,370,6990,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0188
2026-06-16,e新世紀エヴァ17はじまりR,0189,2476,,24,20,4,16,1/103.2,338,22820,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0189
2026-06-16,e新世紀エヴァ17はじまりR,0190,3599,,27,22,5,16,1/133.3,0,18150,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0190
