date,storeName,machine,dai,totalStarts,normalStartsMin,normalStartsMid,normalStartsMax,normalStartsRange,normalStartsRangeRate,supportStartsMin,supportStartsMid,supportStartsMax,jackpot,continuations,initialHits,knownRunThroughCount,unknownRunThroughCount,finalStarts,maxPayout,estimatedDiffBalls,diffBallsConfidence,rotationRateMin,rotationRateMid,rotationRateMax,expectedValueMin,expectedValueMid,expectedValueMax,expectedHourlyMin,expectedHourlyMid,expectedHourlyMax,confidence,confidenceReason,fetchStatus,rankingEligible,rankByExpectedHourlyMin,rankByExpectedHourlyMid,rankByRotationRateMin,rankByRotationRateMid,rankByNormalStarts,rankByEstimatedDiffBalls,url,notes
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0181,2551,210,816.7,1424,1214,1.4863,1127,1734.2,2341,23,18,5,0,5,14,12580,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=1734.2, supportBand=607.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0181,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0182,3362,0,699.9,1400,1400,2.0,1962,3018.8,3362,39,36,3,0,3,89,30950,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=3018.8, supportBand=1056.6",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0182,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0183,2347,0,589.0,1178,1178,2.0,1169,1798.5,2347,24,18,6,0,6,145,14400,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=1798.5, supportBand=629.5",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0183,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0184,2143,0,375.0,750,750,2.0,1393,2143.0,2143,32,28,4,0,4,31,29810,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=2143.0, supportBand=750.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0184,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0185,1492,683,892.5,1102,420,0.4702,390,599.5,809,8,6,2,0,2,720,7000,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=599.5, supportBand=209.8",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0185,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0186,2199,1129,1406.8,1684,555,0.3942,515,792.2,1070,11,6,5,0,5,487,6990,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=792.2, supportBand=277.3",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0186,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0187,2062,1620,1776.5,1934,314,0.1768,128,285.5,442,4,2,2,0,2,903,2520,,missing,,,,,,,,,,C-,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=285.5, supportBand=157.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0187,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0188,2054,1158,1390.2,1623,465,0.3342,431,663.8,896,9,6,3,0,3,370,6990,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=663.8, supportBand=232.3",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0188,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0189,2476,10,649.0,1288,1279,1.9706,1188,1827.0,2466,24,20,4,0,4,338,22820,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=1827.0, supportBand=639.4",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0189,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0190,3599,834,1550.8,2268,1434,0.9246,1331,2048.2,2765,27,22,5,0,5,0,18150,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_not_available_for_past_date; supportMid=2048.2, supportBand=716.9",history_not_available_for_past_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0190,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
