date,machine,dai,url,totalStarts,jackpot,continuations,initialHits,maxPayout,existingEstimatedDiffBalls,diffBallsFromApi,diffBallsFromSvg,diffBallsFinal,diffBallsMethod,diffBallsConfidence,graphEndpointUsed,graphPointCount,graphLastPointRaw,graphZeroLine,graphScaleInfo,fetchStatus,httpStatus,errorType,errorMessage,notes
2026-06-16,e新世紀エヴァ17はじまりR,0181,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0181,2551,23,18,5,12580,,,,,none,missing,,,,,,page_http_502,502,page_502,Machine page returned 502 Bad Gateway,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2551 | maxPayout: today=0, 1d_ago=12580 | diff_probe: page_http_502"
2026-06-16,e新世紀エヴァ17はじまりR,0182,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0182,3362,39,36,3,30950,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=3362 | maxPayout: today=0, 1d_ago=30950"
2026-06-16,e新世紀エヴァ17はじまりR,0183,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0183,2347,24,18,6,14400,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2347 | maxPayout: today=0, 1d_ago=14400"
2026-06-16,e新世紀エヴァ17はじまりR,0184,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0184,2143,32,28,4,29810,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2143 | maxPayout: today=0, 1d_ago=29810"
2026-06-16,e新世紀エヴァ17はじまりR,0185,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0185,1492,8,6,2,7000,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1492 | maxPayout: today=0, 1d_ago=7000"
2026-06-16,e新世紀エヴァ17はじまりR,0186,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0186,2199,11,6,5,6990,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2199 | maxPayout: today=0, 1d_ago=6990"
2026-06-16,e新世紀エヴァ17はじまりR,0187,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0187,2062,4,2,2,2520,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2062 | maxPayout: today=0, 1d_ago=2520"
2026-06-16,e新世紀エヴァ17はじまりR,0188,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0188,2054,9,6,3,6990,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2054 | maxPayout: today=0, 1d_ago=6990"
2026-06-16,e新世紀エヴァ17はじまりR,0189,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0189,2476,24,20,4,22820,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2476 | maxPayout: today=0, 1d_ago=22820"
2026-06-16,e新世紀エヴァ17はじまりR,0190,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0190,3599,27,22,5,18150,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=1, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=3599 | maxPayout: today=0, 1d_ago=18150"
2026-06-16,e新世紀エヴァ17はじまりR,0211,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0211,2858,16,10,6,11470,-14100,,,-14100,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2858 | maxPayout: today=0, 1d_ago=11470 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0212,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0212,2587,27,24,3,22910,9900,,,9900,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2587 | maxPayout: today=0, 1d_ago=22910 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0213,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0213,2065,2,0,2,280,-25600,,,-25600,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2065 | maxPayout: today=0, 1d_ago=280 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0214,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0214,1597,8,4,4,4760,-12600,,,-12600,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1597 | maxPayout: today=0, 1d_ago=4760 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0215,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0215,3049,56,54,2,58210,43500,,,43500,csv_existing,csv_manual,,,,,,api_blocked_451,451,api_not_json,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=3049 | maxPayout: today=0, 1d_ago=58210 | debug_cache: status=451, is_json=False | diff from original CSV (likely manual entry or codex browser)"
