dai,machine,totalStarts,csv_diff,api_status,api_graph_count,api_diff_today,api_diff_1day_ago,api_diff_2day_ago,dom_svg_count,dom_amcharts_count,svg_estimated_diff,history_cache_status,history_1day_starts,diff_probe_status,final_diff,diff_source,recommended_method
0181,e新世紀エヴァ17はじまりR,2551,,,,,,,,,,ok,2551,no_probe,,,devtools_collector
0182,e新世紀エヴァ17はじまりR,3362,,,,,,,,,,ok,3362,no_probe,,,devtools_collector
0183,e新世紀エヴァ17はじまりR,2347,,,,,,,,,,ok,2347,no_probe,,,devtools_collector
0184,e新世紀エヴァ17はじまりR,2143,,,,,,,,,,ok,2143,no_probe,,,devtools_collector
0185,e新世紀エヴァ17はじまりR,1492,,,,,,,,,,ok,1492,no_probe,,,devtools_collector
0186,e新世紀エヴァ17はじまりR,2199,,,,,,,,,,ok,2199,no_probe,,,devtools_collector
0187,e新世紀エヴァ17はじまりR,2062,,,,,,,,,,ok,2062,no_probe,,,devtools_collector
0188,e新世紀エヴァ17はじまりR,2054,,,,,,,,,,ok,2054,no_probe,,,devtools_collector
0189,e新世紀エヴァ17はじまりR,2476,,,,,,,,,,ok,2476,no_probe,,,devtools_collector
0190,e新世紀エヴァ17はじまりR,3599,,,,,,,,,,ok,3599,no_probe,,,devtools_collector
0211,e新世紀エヴァ17はじまりR,2858,-14100,,,,,,,,,ok,2858,no_probe,-14100,csv_direct,already_have
0212,e新世紀エヴァ17はじまりR,2587,9900,,,,,,,,,ok,2587,no_probe,9900,csv_direct,already_have
0213,e新世紀エヴァ17はじまりR,2065,-25600,,,,,,,,,ok,2065,no_probe,-25600,csv_direct,already_have
0214,e新世紀エヴァ17はじまりR,1597,-12600,,,,,,,,,ok,1597,no_probe,-12600,csv_direct,already_have
0215,e新世紀エヴァ17はじまりR,3049,43500,451,,,,,0,0,,ok,3049,no_probe,43500,csv_direct,already_have
0216,e新世紀エヴァ17はじまりR,3015,15800,,,,,,,,,ok,3015,no_probe,15800,csv_direct,already_have
0217,e新世紀エヴァ17はじまりR,2583,-19700,,,,,,,,,ok,2583,no_probe,-19700,csv_direct,already_have
0218,e新世紀エヴァ17はじまりR,2242,-11100,,,,,,,,,ok,2242,no_probe,-11100,csv_direct,already_have
0219,e新世紀エヴァ17はじまりR,2806,,,,,,,,,,ok,2806,no_probe,,,devtools_collector
0220,e新世紀エヴァ17はじまりR,2227,,,,,,,,,,ok,2227,no_probe,,,devtools_collector
0191,P新世エヴァ15未来への咆哮,831,,,,,,,,,,ok,831,no_probe,,,devtools_collector
0192,P新世エヴァ15未来への咆哮,1134,,,,,,,,,,ok,1134,no_probe,,,devtools_collector
0193,P新世エヴァ15未来への咆哮,1389,,,,,,,,,,ok,1389,no_probe,,,devtools_collector
0194,P新世エヴァ15未来への咆哮,0,,,,,,,,,,skipped_no_jackpot,,no_probe,,,devtools_collector
0195,P新世エヴァ15未来への咆哮,2233,,,,,,,,,,ok,2233,no_probe,,,devtools_collector
0196,P新世エヴァ15未来への咆哮,348,,,,,,,,,,skipped_no_jackpot,,no_probe,,,devtools_collector
0197,P新世エヴァ15未来への咆哮,969,,,,,,,,,,ok,969,no_probe,,,devtools_collector
0198,P新世エヴァ15未来への咆哮,1666,,,,,,,,,,ok,1666,no_probe,,,devtools_collector
0199,P新世エヴァ15未来への咆哮,725,,,,,,,,,,ok,725,no_probe,,,devtools_collector
0200,P新世エヴァ15未来への咆哮,1695,,,,,,,,,,ok,1695,no_probe,,,devtools_collector
0201,P新世エヴァ15未来への咆哮,1308,,,,,,,,,,ok,1308,no_probe,,,devtools_collector
0202,P新世エヴァ15未来への咆哮,1695,,,,,,,,,,ok,1695,no_probe,,,devtools_collector
0203,P新世エヴァ15未来への咆哮,2643,,,,,,,,,,ok,2643,no_probe,,,devtools_collector
0204,P新世エヴァ15未来への咆哮,1478,,,,,,,,,,ok,1478,no_probe,,,devtools_collector
0205,P新世エヴァ15未来への咆哮,1202,,,,,,,,,,ok,1202,no_probe,,,devtools_collector
0206,P新世エヴァ15未来への咆哮,1198,,,,,,,,,,ok,1198,no_probe,,,devtools_collector
0207,P新世エヴァ15未来への咆哮,1603,,,,,,,,,,ok,1603,no_probe,,,devtools_collector
0208,P新世エヴァ15未来への咆哮,1133,,,,,,,,,,ok,1133,no_probe,,,devtools_collector
